year,eBrazil,eCanada,eChina,eFrance,eGermany,eIndia,eJapan,eRussia,eSK,eUS
1990,215.795,432.985,507.054,323.252,481.001,215.027,774.8580000000001,917.409,94.384,2712.555
1991,222.814,437.946,581.211,346.798,481.055,235.618,798.323,898.511,104.374,2854.26
1992,227.973,442.485,644.977,355.874,475.878,251.831,806.201,838.323,115.245,2865.559
1993,238.635,451.774,715.634,356.188,467.164,270.562,813.677,781.5700000000001,127.733,2963.142
1994,247.666,457.851,797.8000000000001,363.239,465.073,294.756,866.612,706.808,146.54,3047.324
1995,262.355,466.983,848.4350000000001,367.887,472.579,315.199,884.005,696.9880000000001,163.27,3135.807
1996,274.892,474.501,915.9400000000001,384.181,479.658,321.273,904.373,681.006,182.47,3221.305
1997,292.601,480.387,952.6370000000001,381.618,482.877,341.128,915.2910000000001,667.926,200.783,3270.628
1998,304.712,477.606,986.4540000000001,393.307,487.477,357.748,924.78,649.717,193.47,3373.86
1999,313.062,487.106,1043.574,401.037,490.652,368.762,945.888,669.173,214.215,3459.621
2000,328.898,503.403,1138.463,410.393,501.411,376.219,986.455,692.869,263.122,3589.779
2001,306.761,502.683,1240.951,421.425,512.6370000000001,381.898,970.0120000000001,700.0890000000001,281.572,3554.396
2002,321.121,512.3770000000001,1380.006,419.446,525.51,406.605,987.659,699.311,300.786,3631.904
2003,339.095,524.573,1604.719,436.998690215,531.462,433.629,981.746,721.2230000000001,318.062,3662.327
2004,356.268,531.756,1859.266,448.720259295,538.053,459.037,1015.504,739.053,337.938,3716.318
2005,371.314,537.172,2126.432,451.110488258,539.328,489.64,1039.726,759.86,357.627,3811.487
2006,386.089,535.444,2446.346,446.466179452,544.463,543.511,1043.896,797.813,371.354,3817.56
2007,406.422,543.114,2816.826,448.431963209,545.437,588.927,1076.841,820.698,392.656,3921.94
2008,422.566,540.306,2988.743,460.905823483,542.803,620.937,1037.451,843.37,408.042,3907.229
2009,420.532,544.167,3222.519,447.646036986,513.665,669.266,1004.155,807.937,414.69,3724.658
2010,459.308,544.314,3625.524,471.79104227,547.284,729.2380000000001,1051.272,850.6610000000001,458.473,3894.367
2011,475.893,558.922,4051.605,436.453,540.5600000000001,802.437,1011.721,856.239,480.958,3885.019
2012,492.256,542.789,4326.079,449.756,539.516,841.075,1006.623,874.739,492.568,3830.933
2013,508.512,546.236,4717.568,454.856,537.331,891.192,1005.233,871.74,498.162,3873.143
2014,522.3920000000001,535.193,4938.623000000001,429.301,525.904,976.135,988.673,877.124,499.046,3895.216
2015,514.399,500.704,5103.446,439.069,528.133,1039.292,964.6610000000001,876.816,506.645,3895.365
2016,512.835,505.589,5407.347,446.65,530.374,1111.102,965.085,898.4730000000001,530.1420000000001,3915.781
2017,519.8330550000001,537.088333,5783.664089,443.639477,531.324,1167.845361,979.3574150000001,904.876975,538.384461,3868.958078
2018,527.581912,542.545358114,6229.880140824001,441.218147684,524.724489964,1226.890616529,959.9453650190001,918.2506165450001,560.111492932,3953.456708969
2019,536.047166737,542.985891042,6510.224747161,436.555787528,516.801371253,1230.349054252,918.2186144680001,922.277082035,553.4144982649999,3865.061953332
