Province_Name_ch,Province_Name_en,C2017
安徽省,Anhui Province,1.021697986
北京市,Beijing City,0.190106841
福建省,Fujian Province,0.72764832
甘肃省,Gansu Province,0.542205088
广东省,Guangdong Province,1.628290082
广西壮族自治区,Guangxi Zhuang Autonomous Region,0.733410237
贵州省,Guizhou Province,0.802259135
海南省,Hainan Province,0.156529985
河北省,Hebei Province,2.159182044
河南省,Henan Province,1.744257094
黑龙江省,Heilongjiang Province,0.71306414
湖北省,Hubei Province,1.041044275
湖南省,Hunan Province,0.985639326
吉林省,Jilin Province,0.720399816
江苏省,Jiangsu Province,2.168669628
江西省,Jiangxi Province,0.672252239
辽宁省,Liaoning Province,1.371456999
内蒙古自治区,Inner Mongolia Autonomous Region,1.814432782
宁夏回族自治区,Ningxia Hui Autonomous Region,0.533331949
青海省,Qinghai Province,0.18389549
山东省,Shandong Province,2.425315012
山西省,Shanxi Province,1.257856991
陕西省,Shaanxi Province,0.871482738
上海市,Shanghai City,0.60906039
四川省,Sichuan Province,1.0474784
天津市,Tianjin City,0.474736654
新疆维吾尔自治区,the Xinjiang Uygur Autonomous Region,1.077839668
云南省,Yunnan Province,0.670490453
浙江省,Zhejiang Province,1.169511047
重庆市,Chongqing City,0.486455193
澳门特别行政区,Maco,0
台湾省,Taiwan Province,0
西藏自治区,Tibet Autonomous Region,0
香港特别行政区,Hongkong,0
